Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
estimability,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.1,NA,"stats, R(>= 4.1.0)",NA,NA,"knitr, rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
etrunct,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
evaluate,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.3,NA,R (>= 3.6.0),NA,NA,"callr, covr, ggplot2 (>= 3.3.6), lattice, methods, pkgload,
rlang, knitr, testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ExperimentHub,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.10.0,NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub, GenomicAlignments",ExperimentHubData,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
fabia,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.48.0,NA,"R (>= 3.6.0), Biobase","methods, graphics, grDevices, stats, utils",,NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,yes,4.3.3
factoextra,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.7,NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
FactoMineR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.11,NA,R (>= 4.0),"car,cluster,DT,ellipse,emmeans,flashClust,graphics,grDevices,lattice,leaps,MASS,multcompView,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny,markdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
fANCOVA,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.6-1,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,4.3.3
fansi,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.6,NA,R (>= 3.1.0),"grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
farver,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.2,NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
fastcluster,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.6,NA,R (>= 3.0.0),NA,NA,NA,"stats, flashClust",FreeBSD | GPL-2 | file LICENSE,NA,NA,NA,NA,yes,4.3.3
fastDummies,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.7.5,NA,R (>= 2.10),"data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
fastmap,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.0,NA,NA,NA,NA,testthat (>= 2.1.1),NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
fastmatch,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1-6,NA,R (>= 2.3.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,4.3.3
fgsea,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.28.0,NA,R (>= 4.1),"Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
cowplot, grid, fastmatch, Matrix, scales, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery, msigdbr, aggregation,
Seurat",NA,MIT + file LICENCE,NA,NA,NA,NA,yes,4.3.3
FigR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.0,NA,"Matrix, SummarizedExperiment, dplyr, ggplot2, cowplot,
chromVAR, motifmatchr","Matrix, SummarizedExperiment, GenomicRanges, dplyr, ggplot2,
chromVAR, doParallel, doSNOW, ggrepel, ComplexHeatmap,
BuenColors, pbmcapply, tibble, scales, reshape2, Rmpfr,
optmatch, FNN",NA,"BSgenome.Mmusculus.UCSC.hg19, BSgenome.Mmusculus.UCSC.mm10,
BSgenome.Hsapiens.UCSC.hg38, networkD3, knitr, rmarkdown,
ggrastr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
filelock,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.3,NA,R (>= 3.4),NA,NA,"callr (>= 2.0.0), covr, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
fitdistrplus,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2-2,NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats, rlang",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
flashClust,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.01-2,NA,R (>= 2.3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,4.3.3
flexmix,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.3-20,NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
FNN,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.4.1,NA,R (>= 4.0.0),NA,NA,"chemometrics, mvtnorm",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
fontawesome,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.3,NA,R (>= 3.3.0),"rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), gt (>= 0.9.0), knitr (>= 1.31),
testthat (>= 3.0.0), rsvg",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
forcats,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.0,NA,R (>= 3.4),"cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
foreach,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.2,NA,R (>= 2.5.0),"codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,Apache License (== 2.0),NA,NA,NA,NA,no,4.3.3
foreign,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.8-90,recommended,R (>= 4.0.0),"methods, utils, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
formatR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.14,NA,R (>= 3.2.3),NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,GPL,NA,NA,NA,NA,no,4.3.1
Formula,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2-5,NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,4.3.3
fpc,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2-13,NA,R (>= 2.0),"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, mvtnorm",NA,GPL,NA,NA,NA,NA,no,4.3.3
fresh,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.1,NA,NA,"bslib, htmltools, rstudioapi, sass, shiny",NA,"bsicons, shinyWidgets, shinydashboard, bs4Dash, knitr,
rmarkdown, testthat (>= 2.1.0), covr",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
fs,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.6.6,NA,R (>= 3.6),methods,NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
futile.logger,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.3,NA,R (>= 3.0.0),"utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,LGPL-3,NA,NA,NA,NA,no,4.3.1
futile.options,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.1,NA,R (>= 2.8.0),NA,NA,NA,NA,LGPL-3,NA,NA,NA,NA,no,4.3.1
future,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.40.0,NA,R (>= 3.2.0),"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.43.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.3.3
future.apply,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.11.3,NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
gargle,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.2,NA,R (>= 3.6),"cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
generics,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.3,NA,R (>= 3.2),methods,NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
GenomeInfoDb,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.38.8,NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"R.utils, data.table, GenomicRanges, Rsamtools,
GenomicAlignments, GenomicFeatures, BSgenome,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
GenomeInfoDbData,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.11,NA,R (>= 3.5.0),NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
GenomicAlignments,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.38.2,NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
GenomicFeatures,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.54.4,NA,"R (>= 3.5.0), BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29),
IRanges (>= 2.13.23), GenomeInfoDb (>= 1.35.8), GenomicRanges
(>= 1.31.17), AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, httr, rjson, DBI, RSQLite (>=
2.0), XVector (>= 0.19.7), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.51.5), biomaRt (>= 2.58.2), Biobase (>=
2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb,
AnnotationFilter, RUnit, BiocStyle, knitr, markdown",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
GenomicRanges,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.54.1,NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.31.2), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.2
gert,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.5,NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
GetoptLong,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.5,NA,R (>= 3.3.0),"rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ggbeeswarm,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.7.2,NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,gridExtra,NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
ggdendro,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.0,NA,R(>= 3.5),"MASS, ggplot2(>= 0.9.2)",NA,"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown, covr",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,4.3.3
ggeffects,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2.1,NA,R (>= 3.6),"graphics, insight (>= 1.0.1), datawizard (>= 1.0.0), stats,
utils",NA,"AER, afex, aod, bayestestR, betareg, brglm, brglm2, brms,
broom, car, carData, clubSandwich, dfidx, effects (>= 4.2-2),
effectsize (>= 1.0.0), emmeans (>= 1.8.9), fixest, gam, gamlss,
gamm4, gee, geepack, ggplot2, ggrepel, GLMMadaptive, glmmTMB
(>= 1.1.7), gridExtra, gt, haven, htmltools, httr2, jsonlite,
knitr, lme4 (>= 1.1-35), logistf, logitr, marginaleffects (>=
0.25.0), modelbased (>= 0.9.0), MASS, Matrix, mice, MCMCglmm,
MuMIn, mgcv, mclogit, mlogit, nestedLogit (>= 0.3.0), nlme,
nnet, ordinal, parameters, parsnip, patchwork, pscl, plm,
quantreg, rmarkdown, rms, robustbase, rstanarm, rstantools,
sandwich, sdmTMB (>= 0.4.0), see, sjlabelled (>= 1.1.2),
sjstats, speedglm, survey, survival, testthat, tibble,
tinytable (>= 0.1.0), vdiffr, withr, VGAM",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ggforce,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.2,NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
ggfun,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.8,NA,R (>= 4.1.0),"cli, dplyr, ggplot2, grid, rlang, utils, yulab.utils (>=
0.1.6)",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
ggnewscale,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.1,NA,NA,ggplot2 (>= 3.5.0),NA,"testthat, vdiffr, covr",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
ggplot.multistats,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.1,NA,NA,"methods, rlang, scales, hexbin, ggplot2 (>= 3.3.0)",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,4.3.3
ggplot2,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.5.2,NA,R (>= 3.5),"cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.6.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2",sp,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ggplotify,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.2,NA,R (>= 3.4.0),"ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
ggpointdensity,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.0,NA,R (>= 3.2),ggplot2,NA,"viridis, dplyr",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,4.3.3
ggpubr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.6.0,NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
ggraph,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2.1,NA,"R (>= 2.10), ggplot2 (>= 3.5.0)","dplyr, ggforce (>= 0.3.1), grid, igraph (>= 1.0.0), scales,
MASS, ggrepel, utils, stats, viridis, rlang, tidygraph,
graphlayouts (>= 1.1.0), withr, cli, vctrs, lifecycle, memoise",cpp11,"network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr, sf, sfnetworks",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
ggrastr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.2,NA,R (>= 3.2.2),"ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ggrepel,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.9.6,NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)",Rcpp,"knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,4.3.3
ggridges,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.6,NA,R (>= 3.2),"ggplot2 (>= 3.4.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,GPL-2 | file LICENSE,NA,NA,NA,NA,no,4.3.3
ggsci,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.2.0,NA,R (>= 3.5.0),"ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
ggsignif,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.6.4,NA,NA,ggplot2 (>= 3.3.5),NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
ggthemes,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,5.1.0,NA,R (>= 3.3.0),"ggplot2 (>= 3.0.0), graphics, grid, lifecycle, methods, purrr,
scales, stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, quantreg, rlang, rmarkdown, spelling, testthat
(>= 3.2.0), tidyr, vdiffr, withr",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
ggtree,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.10.1,NA,R (>= 3.5.0),"ape, aplot, dplyr, ggplot2 (> 3.3.6), grid, magrittr, methods,
purrr, rlang, ggfun (>= 0.0.9), yulab.utils, tidyr, tidytree
(>= 0.4.5), treeio (>= 1.8.0), utils, scales, stats, cli",NA,"emojifont, ggimage, ggplotify, shadowtext, grDevices, knitr,
prettydoc, rmarkdown, testthat, tibble, glue",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
gh,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.1,NA,R (>= 3.6),"cli (>= 3.0.1), gitcreds, glue, httr2, ini, jsonlite,
lifecycle, rlang (>= 1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
gitcreds,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.2,NA,R (>= 3.4),NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
glmGamPoi,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.14.3,NA,NA,"Rcpp, DelayedMatrixStats, matrixStats, MatrixGenerics,
DelayedArray, HDF5Array, SummarizedExperiment,
SingleCellExperiment, BiocGenerics, methods, stats, utils,
splines, rlang, vctrs","Rcpp, RcppArmadillo, beachmat","testthat (>= 2.1.0), zoo, DESeq2, edgeR, limma, beachmat,
MASS, statmod, ggplot2, bench, BiocParallel, knitr, rmarkdown,
BiocStyle, TENxPBMCData, muscData, scran, Matrix, dplyr",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
glmnet,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.1-8,NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,GPL-2,NA,NA,NA,NA,yes,4.3.3
glmnetUtils,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.9,NA,NA,"stats, graphics, grDevices, glmnet, parallel, Matrix",NA,"knitr, rmarkdown, MASS, doParallel, testthat",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
GlobalOptions,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.2,NA,"R (>= 3.3.0), methods",utils,NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
globals,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.17.0,NA,R (>= 3.1.2),codetools,NA,NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.3.3
glue,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.8.0,NA,R (>= 3.6),methods,NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.5.3), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
